,Unnamed: 0,text,fonte,chunk_heading
0,0,Art. 1oToda pessoa é capaz de direitos e deveres na ordem civil.,CC,capacidade civil
1,1,Art. 1oToda pessoa é capaz de direitos e deveres na ordem civil.,CC,direitos e deveres
2,2,Art. 1oToda pessoa é capaz de direitos e deveres na ordem civil.,CC,sujeito de direito
3,3,"Art. 2oA personalidade civil da pessoa começa do nascimento com
vida; mas a lei põe a salvo, desde a concepção, os direitos do nascituro.",CC,nascimento com vida
4,4,"Art. 2oA personalidade civil da pessoa começa do nascimento com
vida; mas a lei põe a salvo, desde a concepção, os direitos do nascituro.",CC,direitos do nascituro
5,5,"Art. 2oA personalidade civil da pessoa começa do nascimento com
vida; mas a lei põe a salvo, desde a concepção, os direitos do nascituro.",CC,personalidade civil
6,6,"Art. 3oSão absolutamente 
		incapazes de exercer pessoalmente os atos da vida civil os menores de 16 
		(dezesseis) anos.(Redação 
		dada pela Lei nº 13.146, de 
2015)(Vigência)",CC,menor de 16 anos
7,7,"Art. 3oSão absolutamente 
		incapazes de exercer pessoalmente os atos da vida civil os menores de 16 
		(dezesseis) anos.(Redação 
		dada pela Lei nº 13.146, de 
2015)(Vigência)",CC,incapaz civil
8,8,"Art. 3oSão absolutamente 
		incapazes de exercer pessoalmente os atos da vida civil os menores de 16 
		(dezesseis) anos.(Redação 
		dada pela Lei nº 13.146, de 
2015)(Vigência)",CC,incapacidade absoluta
9,9,"Art. 4oSão incapazes, 
		relativamente a certos atos ou à maneira de os exercer:(Redação dada pela Lei nº 13.146, de 
2015)(Vigência) I - os maiores de dezesseis e menores de dezoito anos; II - os ébrios habituais e os viciados em 
		tóxico;(Redação dada pela Lei nº 13.146, de 
2015)(Vigência) III - aqueles que, por causa transitória ou 
		permanente, não puderem exprimir sua vontade;(Redação dada pela Lei nº 13.146, de 
2015)(Vigência) IV - os pródigos. Parágrafo único.  A capacidade dos indígenas 
		será regulada por legislação especial.(Redação dada pela Lei nº 13.146, de 
2015)(Vigência)",CC,incapacidade relativa
